serp_features,prop
(None),0.024104206335468236
Adwords bottom,0.023313453034761674
Adwords top,0.022306324452767243
Featured snippet,0.057520417958361526
Image pack,0.19396667033848963
Knowledge card,0.018435173965726154
People also ask,0.19531606527452122
Shopping results,0.013092671565927581
Sitelinks,0.10980848820558012
Top stories,0.15463357829637905
Tweet box,0.00872582497993611
Video results,0.17877712559208145
