mean_cpc,id,cat1
0.5521702081988581,10021,Apparel
0.35312198104464354,10013,Arts & Entertainment
0.6266336134485214,10005,Beauty & Personal Care
1.02460005614708,10004,Business & Industrial
0.8492148236664602,10019,Computers & Consumer Electronics
0.4466055803965794,10020,Dining & Nightlife
0.8166397657702361,10002,Family & Community
1.8050557421831843,10012,Finance
0.39876336190571854,10010,Food & Groceries
1.2039212994787076,10011,Health
0.4135158013390417,10015,Hobbies & Leisure
1.0796287947274559,10009,Home & Garden
0.7764321017521494,10007,Internet & Telecom
1.0648584685580802,10016,Jobs & Education
1.2033026758797276,10018,Law & Government
0.32323430918420726,10108,"News, Media & Publications"
0.5403374767160131,10006,Occasions & Gifts
1.2057918001997814,10003,Real Estate
0.7691282651178578,13575,Retailers & General Merchandise
0.4063380265990951,10014,Sports & Fitness
0.48455823829421096,10017,Travel & Tourism
0.7880125347163667,10001,Vehicles
