keyword,n,type
apply,151049,transactional
buy,1958788,transactional
coupons,341177,transactional
clearance,169173,transactional
deals,357801,transactional
discount,613460,transactional
download,7852392,transactional
for sale,6680176,transactional
order,575122,transactional
purchase,97011,transactional
reserve,110386,transactional
schedule appointment,1213,transactional
special,343489,transactional
